Fold-Change,Chi-Squared,Information Gain
hsa-mir-5591,hsa-mir-599,hsa-mir-5582
hsa-mir-563,hsa-mir-601,hsa-mir-5583-1
hsa-mir-567,hsa-mir-603,hsa-mir-5586
hsa-mir-5682,hsa-mir-606,hsa-mir-5587
hsa-mir-5688,hsa-mir-6071,hsa-mir-5589
hsa-mir-5689,hsa-mir-6073,hsa-mir-559
hsa-mir-5690,hsa-mir-6076,hsa-mir-5591
hsa-mir-5692a-1,hsa-mir-6077,hsa-mir-563
hsa-mir-5692c-1,hsa-mir-6080,hsa-mir-5681b
hsa-mir-5692c-2,hsa-mir-6081,hsa-mir-5684
hsa-mir-5704,hsa-mir-6083,hsa-mir-5685
hsa-mir-5705,hsa-mir-6084,hsa-mir-569
hsa-mir-5707,hsa-mir-6087,hsa-mir-5690
hsa-mir-572,hsa-mir-6088,hsa-mir-5701-2
hsa-mir-573,hsa-mir-609,hsa-mir-5703
hsa-mir-575,hsa-mir-6090,hsa-mir-5704
hsa-mir-583,hsa-mir-612,hsa-mir-5705
hsa-mir-586,hsa-mir-6126,hsa-mir-571
hsa-mir-587,hsa-mir-6127,hsa-mir-572
hsa-mir-591,hsa-mir-6130,hsa-mir-580
hsa-mir-593,hsa-mir-6131,hsa-mir-589
hsa-mir-596,hsa-mir-6165,hsa-mir-595
hsa-mir-597,hsa-mir-617,hsa-mir-596
hsa-mir-599,hsa-mir-630,hsa-mir-606
hsa-mir-601,hsa-mir-631,hsa-mir-6069
hsa-mir-602,hsa-mir-638,hsa-mir-6074
hsa-mir-603,hsa-mir-640,hsa-mir-6077
hsa-mir-604,hsa-mir-642b,hsa-mir-6079
hsa-mir-606,hsa-mir-644a,hsa-mir-6080
hsa-mir-6068,hsa-mir-647,hsa-mir-6087
hsa-mir-6071,hsa-mir-650,hsa-mir-6090
hsa-mir-6076,hsa-mir-6500,hsa-mir-6126
hsa-mir-6077,hsa-mir-6504,hsa-mir-6129
hsa-mir-6080,hsa-mir-6506,hsa-mir-615
hsa-mir-6081,hsa-mir-6513,hsa-mir-617
hsa-mir-6083,hsa-mir-653,hsa-mir-618
hsa-mir-6088,hsa-mir-657,hsa-mir-620
hsa-mir-6090,hsa-mir-661,hsa-mir-628
hsa-mir-610,hsa-mir-662,hsa-mir-639
hsa-mir-6126,hsa-mir-663a,hsa-mir-642b
hsa-mir-6127,hsa-mir-663b,hsa-mir-6499
hsa-mir-613,hsa-mir-668,hsa-mir-6502
hsa-mir-6130,hsa-mir-6717,hsa-mir-6503
hsa-mir-6131,hsa-mir-6718,hsa-mir-6505
hsa-mir-6165,hsa-mir-6719,hsa-mir-6510
hsa-mir-617,hsa-mir-6722,hsa-mir-6511a-4
hsa-mir-621,hsa-mir-6731,hsa-mir-6512
hsa-mir-622,hsa-mir-6736,hsa-mir-654
hsa-mir-623,hsa-mir-6738,hsa-mir-662
hsa-mir-630,hsa-mir-6740,hsa-mir-668
hsa-mir-635,hsa-mir-6745,hsa-mir-6720
hsa-mir-637,hsa-mir-675,hsa-mir-6721
hsa-mir-638,hsa-mir-6750,hsa-mir-6724-2
hsa-mir-640,hsa-mir-6751,hsa-mir-6727
hsa-mir-644a,hsa-mir-6753,hsa-mir-6732
hsa-mir-645,hsa-mir-6757,hsa-mir-6733
hsa-mir-647,hsa-mir-6759,hsa-mir-6735
hsa-mir-650,hsa-mir-6765,hsa-mir-6740
hsa-mir-6500,hsa-mir-6766,hsa-mir-6748
hsa-mir-6505,hsa-mir-6767,hsa-mir-6749
hsa-mir-657,hsa-mir-6768,hsa-mir-675
hsa-mir-661,hsa-mir-6770-2,hsa-mir-6750
hsa-mir-662,hsa-mir-6770-3,hsa-mir-6755
hsa-mir-663a,hsa-mir-6775,hsa-mir-6757
hsa-mir-668,hsa-mir-6785,hsa-mir-676
hsa-mir-670,hsa-mir-6787,hsa-mir-6760
hsa-mir-6719,hsa-mir-6790,hsa-mir-6761
hsa-mir-6721,hsa-mir-6795,hsa-mir-6763
hsa-mir-6722,hsa-mir-6796,hsa-mir-6768
hsa-mir-6727,hsa-mir-6801,hsa-mir-6769b
hsa-mir-6745,hsa-mir-6805,hsa-mir-6773
hsa-mir-6752,hsa-mir-6807,hsa-mir-6776
hsa-mir-6759,hsa-mir-6811,hsa-mir-6777
hsa-mir-6770-1,hsa-mir-6815,hsa-mir-6786
hsa-mir-6770-2,hsa-mir-6817,hsa-mir-6789
hsa-mir-6770-3,hsa-mir-6819,hsa-mir-6793
hsa-mir-6776,hsa-mir-6823,hsa-mir-6794
hsa-mir-6778,hsa-mir-6826,hsa-mir-6796
hsa-mir-6780a,hsa-mir-6828,hsa-mir-6799
hsa-mir-6782,hsa-mir-6831,hsa-mir-6801
hsa-mir-6785,hsa-mir-6835,hsa-mir-6804
hsa-mir-6790,hsa-mir-6841,hsa-mir-6806
hsa-mir-6791,hsa-mir-6848,hsa-mir-6811
hsa-mir-6796,hsa-mir-6849,hsa-mir-6818
hsa-mir-6804,hsa-mir-6855,hsa-mir-6821
hsa-mir-6811,hsa-mir-6859-4,hsa-mir-6824
hsa-mir-6823,hsa-mir-6861,hsa-mir-6826
hsa-mir-6828,hsa-mir-6862-1,hsa-mir-6829
hsa-mir-6831,hsa-mir-6862-2,hsa-mir-6833
hsa-mir-6835,hsa-mir-6863,hsa-mir-6846
hsa-mir-6841,hsa-mir-6864,hsa-mir-6847
hsa-mir-6849,hsa-mir-6866,hsa-mir-6849
hsa-mir-6853,hsa-mir-6869,hsa-mir-6852
hsa-mir-6859-4,hsa-mir-6872,hsa-mir-6853
