Fold-Change,RFE,NCA
hsa-mir-6831,,hsa-mir-6830
hsa-mir-6835,,hsa-mir-6835
hsa-mir-6841,,hsa-mir-6838
hsa-mir-6849,,hsa-mir-6839
hsa-mir-6853,,hsa-mir-6848
hsa-mir-6859-4,,hsa-mir-6855
hsa-mir-6862-1,,hsa-mir-6856
hsa-mir-6862-2,,hsa-mir-6859-4
hsa-mir-6863,,hsa-mir-6861
hsa-mir-6864,,hsa-mir-6862-1
hsa-mir-6867,,hsa-mir-6865
hsa-mir-6873,,hsa-mir-6866
hsa-mir-6876,,hsa-mir-6868
hsa-mir-7107,,hsa-mir-6872
hsa-mir-711,,hsa-mir-6873
hsa-mir-7151,,hsa-mir-6874
hsa-mir-7157,,hsa-mir-6876
hsa-mir-7158,,hsa-mir-6878
hsa-mir-718,,hsa-mir-6883
hsa-mir-761,,hsa-mir-6884
hsa-mir-762,,hsa-mir-6886
hsa-mir-764,,hsa-mir-6887
hsa-mir-7704,,hsa-mir-6888
hsa-mir-7847,,hsa-mir-6890
hsa-mir-7852,,hsa-mir-7107
hsa-mir-7853,,hsa-mir-7111
hsa-mir-7856,,hsa-mir-7113
hsa-mir-7973-1,,hsa-mir-7114
hsa-mir-7973-2,,hsa-mir-7156
hsa-mir-7977,,hsa-mir-7158
hsa-mir-7978,,hsa-mir-7161
hsa-mir-802,,hsa-mir-718
hsa-mir-8052,,hsa-mir-761
hsa-mir-8059,,hsa-mir-762
hsa-mir-8064,,hsa-mir-765
hsa-mir-8066,,hsa-mir-7703
hsa-mir-8073,,hsa-mir-7843
hsa-mir-8075,,hsa-mir-7845
hsa-mir-8077,,hsa-mir-7847
hsa-mir-8079,,hsa-mir-7849
hsa-mir-8082,,hsa-mir-7853
hsa-mir-8083,,hsa-mir-7855
hsa-mir-875,,hsa-mir-7973-1
hsa-mir-890,,hsa-mir-7973-2
hsa-mir-891a,,hsa-mir-7975
hsa-mir-891b,,hsa-mir-7977
hsa-mir-892a,,hsa-mir-8052
hsa-mir-892b,,hsa-mir-8058
hsa-mir-921,,hsa-mir-8073
hsa-mir-922,,hsa-mir-8083
hsa-mir-933,,hsa-mir-8085
hsa-mir-941-1,,hsa-mir-8086
stage,,hsa-mir-8089
subtype,,hsa-mir-936
